tweet;sentiment;;;;;;;;;;;;;;;;;;;;;;;;
@MarinoMarcoss @Yaamilanavarro @TinchoRumiRumi Mirá, yo estudié en la UBA, me recibí con promedio alto. Me matriculé para poder tirar CV y nada. Ejerzo pero tengo 3 casitos. Me rompen el ort todos los meses con pagos de matric, afip, iibb. Lit tengo + pasivos q activos, así q, a - q me llamen de algún lado, dudo juntar guita;-1;;;;;;;;;;;;;;;;;;;;;;;;
Durante 2021, trabajamos con la cátedra Taller a77 de la FADU/UBA en un plan de acción que se tradujo en 3 TP, que concluyeron en una propuesta de edificio para el Museo Argentino del Diseño.;1;;;;;;;;;;;;;;;;;;;;;;;;
¿Pase sanitario en la UBA? SI DE PEDO EN SOCIALES NO ENCONTRABAS A UN LINYERA LAVANDOSE LAS BOLAS EN EL BAÑO ????????;-1;;;;;;;;;;;;;;;;;;;;;;;;
@ElNunuDeSneed @RAMIROMARRA @LLibertadAvanza @juanenriqueUBA No tiene nada de malo q swa de la UBA. Ninguna facultad te enseña algo diferente em economía. Se enseña lo q de aplica hoy en todo el mundo para dar una pantallazo general (keynesianismo y algunos topicos de la escuela marginalista);1;;;;;;;;;;;;;;;;;;;;;;;;
@MunicipioQuito @UBA_Quito @agentesdequito @EMGIRSEP Los videos dicen claramente quien fue de los palazos asi como requisa los alimentos cuando la constitucion no lo permite;-1;;;;;;;;;;;;;;;;;;;;;;;;
@Dan_El_Santo @untalfrank Una buena. Psicología de la UBA, un asco.;-1;;;;;;;;;;;;;;;;;;;;;;;;
"Ya podés inscribirte a los #cursos de verano del área de #Oficios para Jóvenes y Adultos

Con #certificadosUBA

??Inscripción online https://t.co/RVCjtlx0im

??Consultas: alumnosrojas@rojas.uba.ar

Averiguá por descuentos y promociones. https://t.co/aoFGEanBMS";1;;;;;;;;;;;;;;;;;;;;;;;;
“Universidad del Traiding” andá a buscarla al ángulo, UBA.;1;;;;;;;;;;;;;;;;;;;;;;;;
"@OsoPandito Entrevista para Tesorero me preguntaron dónde estudiaba, respondí la UBA y me dice: Los de UBA son contadores de kiosco, y procedió a desarrollar el perfil de contador que egresaba de cada universidad (según su amplia experiencia ??). Me excuse y me fui.";-1;;;;;;;;;;;;;;;;;;;;;;;;
@rodrigoayalasv Estos casos siguen pendientes la UBA no dice nada https://t.co/HFYK6ONOfi;-1;;;;;;;;;;;;;;;;;;;;;;;;
@IvonneHernandSv @UBAsv @BancadaCyan @nuevasideas @nayibbukele @AgriculturaSV @AsambleaSV Faltan esos casos la UBA no dice nada https://t.co/NLwnw7dNxv;-1;;;;;;;;;;;;;;;;;;;;;;;;
@JaviviRuizJ @ferrocitizen @zarahsultana @gabrielboric @taylorswift13 @Damonalbarn además, por más que tengamos la UBA, la educación secundaria y primaria es un desastre y cada ves peor nos va en las pruebas pisa;-1;;;;;;;;;;;;;;;;;;;;;;;;
"Sobre el origen del nombre del barrio porteño de Palermo. Miguel Sorondo.

https://t.co/MFjZ501h6p https://t.co/b7Zuai1keF";1;;;;;;;;;;;;;;;;;;;;;;;;
@ActualidadRT @nayibbukele @_elfaro_ @ARENAOFICIAL @FMLNoficial Y que han generado una campaña nacional e internacional, queriendo desprestigiar al actual Gobierno, por brindarle al pueblo, la,seguridad añorada por décadas, que sufrio despues de una cruenta guerra y fue el unico futuro que le ofrecio, después del pacto de paz, y que el pueblo;-1;;;;;;;;;;;;;;;;;;;;;;;;
Hola cómo estan? Soy una estudiante de diseño de imagen y sonido de la uba. Estoy realizando books de fotos, edición de videos, manejos de redes sociales, eventos y mucho más. Me ayudaría mucho si comparten este tweet ?? gracias?? https://t.co/EnlOvlxUoF;1;;;;;;;;;;;;;;;;;;;;;;;;
"@LANACION Señor  ; no entre en discusiones con estos oportunistas, quese quieren hacer famosos con la gente de una gran trayectoria:??";-1;;;;;;;;;;;;;;;;;;;;;;;;
Habría que enviar a Bill Gates, El CONICET y La UBA todos juntitos a la concha de la lora;-1;;;;;;;;;;;;;;;;;;;;;;;;
UBA :  UNIVERSIDAD DE BOLUDOS ARGENTINOS.;-1;;;;;;;;;;;;;;;;;;;;;;;;
Me juego mi vida que este contador y economista estudio en la UBA . https://t.co/UIp2vcCejz;1;;;;;;;;;;;;;;;;;;;;;;;;
qn me ayuda a hacer una tarea, les pago con mi valiosa amistad;1;;;;;;;;;;;;;;;;;;;;;;;;
Alguna se va a anotar en el cbc de medicina en la uba????;1;;;;;;;;;;;;;;;;;;;;;;;;
@aetchebarne Me encantó todo el hilo @aetchebarne. Sumaría que los hongos alucinógenos de hoy en día se dispensan en bajo el envoltorio de la educación pública y privada. Y calculo que la UBA es el proveedor más grande.;-1;;;;;;;;;;;;;;;;;;;;;;;;
@alicia_sbarbati @JnCrzFrnndz Es un lujo esa universidad. Es mejor que la UBA. He ido a trabajar al INTECH que está pegado en el mismo predio, y entré para tomar un café.;1;;;;;;;;;;;;;;;;;;;;;;;;
@RAMIROMARRA @LLibertadAvanza @juanenriqueUBA Encima se pone UBA EN EL NOMBRE PARA DESPRESTIGIAR LA UNIVERSIDAD;-1;;;;;;;;;;;;;;;;;;;;;;;;
@RAMIROMARRA @LLibertadAvanza @juanenriqueUBA UBA;1;;;;;;;;;;;;;;;;;;;;;;;;
@mal3fikarum @klarakoronela No basta, no me ilusionen ya estoy buscando carreras en la uba;1;;;;;;;;;;;;;;;;;;;;;;;;
@Lucas_seb_ Quiero ser doctorado en la universidad del traiding así puedo hacer esto con mi título de contador en la uba https://t.co/dUfRrS5kB5;1;;;;;;;;;;;;;;;;;;;;;;;;
@elperritorubio No , para nada. Perfile en TW que tratan el tema : UBA sociales , programa de Victor Hugo Morales AM 750 , Página12 y comunero de La Cámpora Caballito ( basta con ver la foto con quién está abrazado);1;;;;;;;;;;;;;;;;;;;;;;;;
"Etchebarne deja echando espuma por la boca a GarKatelli, el payaso Chouza y un zurdo ridículo de UBA ??
#GobiernoDeInutiles #ElPeorPresidenteDeLaHistoria 
https://t.co/FaJqkXtwh7";-1;;;;;;;;;;;;;;;;;;;;;;;;
"13 : 51   DON ROSA ARG : SUS DESEOS SON 
ÓRDENES Y MANDATO PARA @marianacontar .
MAS ALLÁ EXISTIMOS ""UNOS""QUE NO CONSU- 
-MIMOS PESCADO PODRIDO,PERO PESCADO.
ASÍS DON ROSA: AL ENGAÑAR,NO OLVIDE QUE 
HABEMUS MUCHOS NO PANELISTAS,QUE 
PASAMOS POR LA ""PUERTA"" DE LA UBA.
@A24COM @C5N";-1;;;;;;;;;;;;;;;;;;;;;;;;
@Nacho56830801 @javierLibertar2 @emmaferrario @JMilei la Universidad de São Paulo es pública, la UBA es pública y la UNAM es pública. Son las 3 mejores y las 3 son públicas…;1;;;;;;;;;;;;;;;;;;;;;;;;
?? Goyanes es investigadora del #CONICET y directora del Laboratorio de Polímeros y Materiales Compuestos de la UBA. Recibió la distinción Jorge Sábato por desarrollar materiales textiles antivirales que se usan en los barbijos Atom Protect para inactivar el Covid-19. ??;1;;;;;;;;;;;;;;;;;;;;;;;;
@ComiteSalvador @RescateQ @UBA_Quito Estimados, verificamos el estado de un animal de compañía. Constatamos que cuenta con un techo para resguardo, agua y alimento disponible y está dentro de los parámetros de bienestar animal. Durante la inspección socializamos la normativa a la tenedora responsable del can. https://t.co/FLle3Uu8W3;1;;;;;;;;;;;;;;;;;;;;;;;;
lo insoportable q es ir a la facultad con este clima del orto, q para colmo no hay ni un puto ventilador uba de mierda;-1;;;;;;;;;;;;;;;;;;;;;;;;
@aracelituiter @TdfRaul @JnCrzFrnndz Flaqui eso habla más de la deciadencia de la UBA que otra cosa, como que no estás ayudando.;-1;;;;;;;;;;;;;;;;;;;;;;;;
Amo como generalizan estos cabezas de termo. Deben pensar que la única universidad pública de argentina es la uba https://t.co/dNOR30I1dL;-1;;;;;;;;;;;;;;;;;;;;;;;;
@bravojulieta @RipWheeler8 @untalfrank El tweet original decía “universidades públicas que no tienen agua ni para tirar la cadena…” y -lo cierto- es que HASTA AHORA sólo lo plantearon 3 y, de ellas, 2 no viven esa realidad. Lo que pase con la UBA es otro cantar. Matanza está en condiciones de implementarlo.;-1;;;;;;;;;;;;;;;;;;;;;;;;
@GJT_CAB @JnCrzFrnndz Hace por lo menos 40 años que no hay jabón en los baños de la UBA. Vos decís que no llegó el momento de reclamar todavía?;-1;;;;;;;;;;;;;;;;;;;;;;;;
"Che, será q los alumnos de la UNCL, Stanford, Harvard, etc; usan busos y remerones de la UBA, UNL, UNC UADER ?";1;;;;;;;;;;;;;;;;;;;;;;;;
@RAMIROMARRA @C5N @juanenriqueUBA Jajajaja un parásito estatal del relato crítico a un privado??? Si estos son los profesores de la UBA ahora se entiende porque son tan pedorros los políticos que tenemos;-1;;;;;;;;;;;;;;;;;;;;;;;;
@Miiilaaagros1 en la uba todavia ni abrió e;-1;;;;;;;;;;;;;;;;;;;;;;;;
La Corte ratificó que para inscribirse en la #UBA se deberá contar con DNI argentino https://t.co/823kwX3gzv;1;;;;;;;;;;;;;;;;;;;;;;;;
Ojalá que le pidan pase sanitario a los del centro de estudiantes en la UBA, sobre todo en sociales.;-1;;;;;;;;;;;;;;;;;;;;;;;;
@victorfyt Por suerte mi 3er y más chica de mis hijos, terminó el año pasado, me liberé de este gasto que tengo desde hace + de 20 años. (espero q vaya a la UBA como los otros??);1;;;;;;;;;;;;;;;;;;;;;;;;
@YIBOSDYKE aaaa:( igual lei q capaz si hacen una prórroga puede ser q dejen q empiecen mas tarde, tuve q averiguar xq yo rindo ahora en febrero por uba xxi y tampoco se la fecha??. La chica comento que si son muchos y hablan con los centros de estudiantes creo pueden hacer una prórroga!;1;;;;;;;;;;;;;;;;;;;;;;;;
Uba, no lo entenderias https://t.co/fgJgh0jKmz;1;;;;;;;;;;;;;;;;;;;;;;;;
@fgranea @JnCrzFrnndz En cuál trabajas? Por q la UBA, no va a pedir nada. Y las nombradas no tienen más de 10 años;-1;;;;;;;;;;;;;;;;;;;;;;;;
"Lunes se manifiestan los UBA está polo obrero
Miércoles los sin tierra está el polo obrero
Jueves el tomatazo está el polo obrero
Ayer se manifestaron empelados de Garbarino está el p.obrero
De qué trabajan el polo obrero? 
De ladero. Hoy están cortando por aumento a los planes";-1;;;;;;;;;;;;;;;;;;;;;;;;
Los dos estudian psicología en la uba https://t.co/e6yV7W913O;1;;;;;;;;;;;;;;;;;;;;;;;;
"@YIBOSDYKE hermana yo me guio por una cuenta de ig @/derecho.uba
Tiene una historia destacada q dice ingresantes 2022, tiene posts y todo, una genia";1;;;;;;;;;;;;;;;;;;;;;;;;
"#EsNecesario ????@Conacyt_MX
""Incorporación de las #altmetrics como elemento de #evaluacióncientífica en una política de CTI""
Transformando la evaluación científica en las políticas de Ciencia, Tecnología e Innovación en América Latina y el Caribe ??
https://t.co/GMEFRKr88r";1;;;;;;;;;;;;;;;;;;;;;;;;
UNA procesión en Francia memora a Luis XVI… creo que voy a perder la cabeza!  https://t.co/2iEs4Gn9iI;-1;;;;;;;;;;;;;;;;;;;;;;;;
@emiarce15 Licenciada en comunicación UBA con honores ????;1;;;;;;;;;;;;;;;;;;;;;;;;
@XXXSOBRENATURAL bro que lo digo en serio estoy con una irritación de la hostia he perdido kilo y medio cagando hoy;-1;;;;;;;;;;;;;;;;;;;;;;;;
"NOS VISITÓ EL PSICOLOGO (UBA) Y ESCRITOR PABLO MELICCHIO Y HABLÓ SOBRE LA REPERCUSIÓN DE LA PANDEMIA 24 1 2022
https://t.co/ICEES5XmpG";1;;;;;;;;;;;;;;;;;;;;;;;;
@abasara @Bonigallinarec1 @MarisaKlos Pasame data;1;;;;;;;;;;;;;;;;;;;;;;;;
"#LaLibreRecomienda 
""Marranadas"", una sátira del capitalismo y el poder masculino; una crítica feminista al entramado social que coloca a las mujeres como objetos y una denuncia de la crueldad del sistema, que todo lo quiere domesticado.
 #PideYRecoge ?? https://t.co/8kcrFNkMH6 https://t.co/ScZNT7KrWF";1;;;;;;;;;;;;;;;;;;;;;;;;
Ah, viva el viejo grupo de Facebook de la carrera de Arquitectura de la UBA, donde puedo bardear y pelearme con la gente para descargar tensiones total nunca en la puta vida estudié esa carrera;-1;;;;;;;;;;;;;;;;;;;;;;;;
mis amigas preguntandome cosas del cbc de la uba jajsdkjaj hermana me viste cara de estar estudiando una carrera con futuro? no;-1;;;;;;;;;;;;;;;;;;;;;;;;
UNA SEÑORA ME DICE ADEU PORQUE SE VA Y YO SE QUE SE VA Y VOY Y LE DIGO HOLA;-1;;;;;;;;;;;;;;;;;;;;;;;;
@bravojulieta @germanandrioli @untalfrank Me alegro que no generalices. Mi comentario iba apuntado a quienes piensan que universidad pública = UBA;1;;;;;;;;;;;;;;;;;;;;;;;;
@MarinaGlezer @Lubertino Yo a los casi 43 estoy llegando al final de la carrera. Anotarme en la UBA a los casi 40 es una de las mejores decisiones que tome en la vida. Disfrútala que es una carrera HERMOSA.;1;;;;;;;;;;;;;;;;;;;;;;;;
@MedioBobina La universidad del traiding. Anda a buscarla al ángulo UBA.;-1;;;;;;;;;;;;;;;;;;;;;;;;
@Helvetios30 @curio_sito @_tomascastro_ Buen día fíjate en el ranking de las mejores universidades del mundo, donde esta la la UBA, y dónde están las privadas.saludos;1;;;;;;;;;;;;;;;;;;;;;;;;
@elchamaco_1 Mi hija estudio en la uba es médica hace rato le dieron las 3 dosis igual tuvo COVID pero sus amigas q son muchas se vacunaron considero q la gente mas grande no se vacuna;1;;;;;;;;;;;;;;;;;;;;;;;;
@Frank97857806 @DboraIsabelCon3 Investiga Escobar, yo estoy en Matheu haciendo planes para vender allá y aprovechar el colegio Cereijo dependiente da la UBA para secundario, en CABA no sé adónde lo mandaría y haría crecer. CABA Es un coto de caza, un campo de trabajos y tarifas forzadas.;1;;;;;;;;;;;;;;;;;;;;;;;;
"@UCRNacional Pero @LopezMurphi en el DESgobierno de La Alianza cuando duró quince días como Ministro de Economía, intentó bajarle el presupuesto a la UBA.
UCR, felpudo de la derecha más reaccionaria y corrupta de Argentina.!!";1;;;;;;;;;;;;;;;;;;;;;;;;
@UncleGobby @umusore12 @nkundineza Uba waje Cartier bucece;1;;;;;;;;;;;;;;;;;;;;;;;;
Alta presencia Sarliana en “Campus” / es como un badge de honor académico-cono-sur-UBA?? https://t.co/JvW5eVuKZJ;1;;;;;;;;;;;;;;;;;;;;;;;;
@pablocastro1987 @JnCrzFrnndz La UBA es así. Una mugre;-1;;;;;;;;;;;;;;;;;;;;;;;;
Me desperté con la noticia de que la uba vuelve a la presencialidad y tengo que dejar la carrera por no poder mudarme otra vez a Caba https://t.co/Y5jMME0JQR;-1;;;;;;;;;;;;;;;;;;;;;;;;
@CasaRosada @alferdez Abogado. Profesor de Derecho Penal (UBA). Hincha de Argentinos Juniors. Presidente de la Nación Argentina., panqueque, garka, traidor, mentiroso, pollerudo, chupKLO, sin vergüenza, desmemoriado, caradura, ladrón, oligarKa, patotero, padre de un X, HOMELESS, SIN TECHO, déspota;-1;;;;;;;;;;;;;;;;;;;;;;;;
El presidente es docente en la facultad de derecho de la UBA, el gobernador de la Pcia de Bs. As es docente en Exactas de la UBA;1;;;;;;;;;;;;;;;;;;;;;;;;
@TdfRaul @JnCrzFrnndz Jajajja!! Que burro!! Jajajaj!  y dice q los q gobiernan nunca pisaron una universidad ?????;-1;;;;;;;;;;;;;;;;;;;;;;;;
@JnCrzFrnndz @gra1956ov Exacto. La UBA, arquitectura, un asco. Mugre x todos lados, pegatinas, carteles horrible! Deberían tener mínimo, los baños de los aeropuertos, todo automático para no tocar NADA.;-1;;;;;;;;;;;;;;;;;;;;;;;;
@MorLog4 @SergioChouza En la UBA derecho este cuatrimestre va a ser mixto;1;;;;;;;;;;;;;;;;;;;;;;;;
@AmericaTV que parte no entienden , que la UBA es nacional. Está en Caba, pero es de Nación!. Periodistas y conductores nuevitos sin info!.;-1;;;;;;;;;;;;;;;;;;;;;;;;
@soyBendi Peor, este mujer es infectologa del Muñiz, una persona egresada de la UBA, la locura es total;-1;;;;;;;;;;;;;;;;;;;;;;;;
@danielamarielr Me deberia abrir una birra?;1;;;;;;;;;;;;;;;;;;;;;;;;
me desbloqueó un recuerdo de ese año: mi hno venía a casa casi todas las semanas solo para dejarme un pack de birra y se iba, creo que si no fuera por eso no hubiera sobrevivido https://t.co/4DfImlREdd;1;;;;;;;;;;;;;;;;;;;;;;;;
Hoy pienso merendar una birra y pizza;1;;;;;;;;;;;;;;;;;;;;;;;;
Unas ganas de estar escuchando ke personajes y tomando birra por ahí;1;;;;;;;;;;;;;;;;;;;;;;;;
@unjocca Te puedo pagar con puchos y birra bro ? Ah;1;;;;;;;;;;;;;;;;;;;;;;;;
Lo mejor de esta supuesta pelea es que vamos a tener menos fanáticos del pop coreano/adolescentes en estado de ebullición, y más espacio, en el Quilmes de Gorillaz. Falta que habiliten la birra en todo el predio y estamos.;1;;;;;;;;;;;;;;;;;;;;;;;;
Terminé mi horario de curso, y nos tomamos una lata de birra con papas fritas, co mis compañeras y la profe. Ay dios como me encanta ser peluquera canina jajajajaj;1;;;;;;;;;;;;;;;;;;;;;;;;
merezco una birra por todo lo que renegue hoy en el laburo;1;;;;;;;;;;;;;;;;;;;;;;;;
"Yo ando tranqui
solo tomando una birra
Y fumando una seca ??";1;;;;;;;;;;;;;;;;;;;;;;;;
"4 horas de trabajo = a una birra
Algo anda mal";1;;;;;;;;;;;;;;;;;;;;;;;;
Es mala idea desayunar birra, no lo recomiendo;-1;;;;;;;;;;;;;;;;;;;;;;;;
¿Que se puede hacer un día de calor? Que no sea tomar birra.;1;;;;;;;;;;;;;;;;;;;;;;;;
"@ReginoMeli ""Ya chupaste muchas birra""";-1;;;;;;;;;;;;;;;;;;;;;;;;
Estoy por cumplir 30 años y mi viejo me rompe las bolas por qué tomo birra ??;-1;;;;;;;;;;;;;;;;;;;;;;;;
@PicanteDr Mil veces tuve gripe, nunca perdí el olfato ni el gusto. Esa publicación la hace mi vecino en pelotas con una birra en la mano jajajajaja;-1;;;;;;;;;;;;;;;;;;;;;;;;
lastima que la birra sea una poronga  igual compro https://t.co/ZcZcdGMeAD;-1;;;;;;;;;;;;;;;;;;;;;;;;
Agustina llevo el mate y el azucar pero se olvido el termo asi que tuvimos que tomar 1 pack d birra??;1;;;;;;;;;;;;;;;;;;;;;;;;
Ayer salí a tomar una birra y me cruce a los nenes que cuido, hoy cuando llegue me preguntaron si ayer cuando los vi estaba borracha jajajajajjaja no pero después si;1;;;;;;;;;;;;;;;;;;;;;;;;
@JaliMuzaber Una birra;1;;;;;;;;;;;;;;;;;;;;;;;;
CALOR DE MIERDA ME VAS A HACER TOMAR UNA BIRRA;-1;;;;;;;;;;;;;;;;;;;;;;;;
de repente me dieron ganas de llorar xq estoy encerrada desde el domingo en lo de mi viejo cuando tendria q estar en una pile tomandome una birra;-1;;;;;;;;;;;;;;;;;;;;;;;;
Desde que entré al bar no hay un día que no tome birra, me esta empezando a dar un poco de culpa;-1;;;;;;;;;;;;;;;;;;;;;;;;
Unas ganas de ir al concierto de bad bunny pero a la parte de afuera nomás a vender remeras o latas de birra ahí está el negocio ?? jajaja;1;;;;;;;;;;;;;;;;;;;;;;;;
no doy más, necesito un descanso y si puede ser con una birra mejor;-1;;;;;;;;;;;;;;;;;;;;;;;;
@ValeenSandoval1 Valentina,todo mal con vos,cuando vamos por esa birra amiga?;1;;;;;;;;;;;;;;;;;;;;;;;;
"@amcb96 @MissY0k0 @chivuos TAL CUAL. 

Y CON BUENA BIRRA EN CHIVUOS. ??";1;;;;;;;;;;;;;;;;;;;;;;;;
Che qué onda el Club de la Birra en Caballito, está bueno?;1;;;;;;;;;;;;;;;;;;;;;;;;
Acaba de publicar una foto en Birra Birrae https://t.co/iETOibdIYe;1;;;;;;;;;;;;;;;;;;;;;;;;
@lilencorte Justo esa parte no la estaría queriendo restaurar y la birra me detona! Va si queres que muera yo complacida!;1;;;;;;;;;;;;;;;;;;;;;;;;
@DonMitxel_I Y q luego le paga la birra al primo;1;;;;;;;;;;;;;;;;;;;;;;;;
"A la gente si le gusta hablar paja y chismear dizque me vieron bebiendo con unas mujeres.

Ahora uno no puede tomarse una birra con las representantes de las compañeritas de escuela de Victoria ??";-1;;;;;;;;;;;;;;;;;;;;;;;;
@doctor_blue_box Mucha birra.????????????;1;;;;;;;;;;;;;;;;;;;;;;;;
@paulischnidrig La reina @GazanoMela atras tomandose una birra;1;;;;;;;;;;;;;;;;;;;;;;;;
No entiendo la gente que está con mates en la playa.. yo estaba 24/7 con la birra. Será para economizar? ??;1;;;;;;;;;;;;;;;;;;;;;;;;
@jpcp2408 Salen corriendo a comprar la birra para verlo. ??????????????;1;;;;;;;;;;;;;;;;;;;;;;;;
quien se hace esas pizzas hoy? yo pongo la birra;1;;;;;;;;;;;;;;;;;;;;;;;;
Me saltan los recuerdos y con jaz íbamos al gym, a baile y después nos íbamos a TOMAR UNA BIRRA a las 4 de la tarde jajajajja q hdp;1;;;;;;;;;;;;;;;;;;;;;;;;
Empanadas caseras de tía moni con birra ????? https://t.co/m4Te5BaUA0;1;;;;;;;;;;;;;;;;;;;;;;;;
Una birra me tomaría;1;;;;;;;;;;;;;;;;;;;;;;;;
"Me escribe... 
~Hay me fijé y si puedo tomar la birra hoy.
*me hice la boluda por el ""hay"" y le dije que siii, pero luego me puso...
~ ahí que organizar hora nomas jeje 
OK. CHAU";1;;;;;;;;;;;;;;;;;;;;;;;;
Necesito una noche en el campo mirando las estrellas con un salame y unas buenas birra al palo sin que me rompa los huevo nadie;1;;;;;;;;;;;;;;;;;;;;;;;;
"Llega una nueva #birra AMIGOS DEL PINO - Doble @strangebrewin ??

Si visitás la Costanera de #sannicolasdelosarroyos te encontrás con esta tremenda #birra
Te contamos en #hilos cómo es su sabor ??
#cervezaartesanal #viajar https://t.co/pzOdmxTk89";1;;;;;;;;;;;;;;;;;;;;;;;;
Amigos y birra... Pa que más ? https://t.co/E1F5x6d9X6;1;;;;;;;;;;;;;;;;;;;;;;;;
ayyy amo stephie denmer mostrando su pancita de embarazada que por supuesto es un globito literalmente es la mia despues de tomarme una birra;1;;;;;;;;;;;;;;;;;;;;;;;;
@AlanPere8 JAJAJAJA pagate la birra y nos ponemos al día como corresponde.;1;;;;;;;;;;;;;;;;;;;;;;;;
Tengo mas ganas de tomar una birra tirada roja q d vivir;1;;;;;;;;;;;;;;;;;;;;;;;;
@andruumussini Todavía espero un pack de birra de cuando laburabamos juntos, chanta. Mi pronóstico es que los paseamos igual.;1;;;;;;;;;;;;;;;;;;;;;;;;
estoy tranquilo y de la nada se me vienee el sabor de un fernet a la cabeza o una birra heladada;1;;;;;;;;;;;;;;;;;;;;;;;;
Hoy me levante con más ganas de tomarme una birra que de vivir. Ósea un día cualquiera de la vida de Consuelo, pero con más ganas;1;;;;;;;;;;;;;;;;;;;;;;;;
"Fua que calor que hace, no queres que tomemos una birra? 
Ese tipo d invitaciones necesito";1;;;;;;;;;;;;;;;;;;;;;;;;
No se me pasa mas la hora la concha de la gorra q algien me invite una birra;1;;;;;;;;;;;;;;;;;;;;;;;;
Esta para que se rompan la birra;1;;;;;;;;;;;;;;;;;;;;;;;;
Una panza de birra voy a sacar;1;;;;;;;;;;;;;;;;;;;;;;;;
“Los gustos se dan en birra” by @diegodellasala;1;;;;;;;;;;;;;;;;;;;;;;;;
El día está para ahogarse en birra;1;;;;;;;;;;;;;;;;;;;;;;;;
@Maggiedelozanne Una birra bien elotes¡;1;;;;;;;;;;;;;;;;;;;;;;;;
@MelVonPato Lo que mas me cuesta de cuando estoy en Argentina es cargar con esa pila de papeles sucios conmigo para comprar una birra. En USA el efectivo casi no existe ya.;-1;;;;;;;;;;;;;;;;;;;;;;;;
Nada como una birra después de un mal día en el laburo;1;;;;;;;;;;;;;;;;;;;;;;;;
@argietomahawk Totalmente, pero invitemos una birra a toda esa gente del mucho y pasemosla acompañados ! ??;1;;;;;;;;;;;;;;;;;;;;;;;;
q rica q es la birra por favor;1;;;;;;;;;;;;;;;;;;;;;;;;
@Rrovergara Mañana birra con Delfa, adiós;1;;;;;;;;;;;;;;;;;;;;;;;;
